commodity,year,export,import,total,rank
88 OTHERS,2009,40219.28,61050.92,101270.2,99
88 OTHERS,2010,37585.24,58762.35,96347.59,99
88 OTHERS,2011,50221.58,67522.89,117744.47,99
88 OTHERS,2012,62729.03,90757.08,153486.11000000002,99
88 OTHERS,2013,64203.26,89900.49,154103.75,99
88 OTHERS,2014,69027.75,81697.59,150725.34,99
88 OTHERS,2015,73061.07,90483.54,163544.61000000002,99
88 OTHERS,2016,64999.28,90449.05,155448.33000000002,99
88 OTHERS,2017,66923.22,91011.9,157935.12,99
88 OTHERS,2018,73452.1,102727.93000000001,176180.03,99
MEAT AND EDIBLE MEAT OFFAL.,2009,1170.34,0.8,1171.14,20
MEAT AND EDIBLE MEAT OFFAL.,2010,1323.89,1.16,1325.05,20
MEAT AND EDIBLE MEAT OFFAL.,2011,1960.7,1.1,1961.8,20
MEAT AND EDIBLE MEAT OFFAL.,2012,2913.59,1.68,2915.27,20
MEAT AND EDIBLE MEAT OFFAL.,2013,3286.88,1.98,3288.86,20
MEAT AND EDIBLE MEAT OFFAL.,2014,4475.53,1.97,4477.5,20
MEAT AND EDIBLE MEAT OFFAL.,2015,4929.2300000000005,3.2199999999999998,4932.45,20
MEAT AND EDIBLE MEAT OFFAL.,2016,4209.97,1.95,4211.92,20
MEAT AND EDIBLE MEAT OFFAL.,2017,4037.57,3.11,4040.6800000000003,20
MEAT AND EDIBLE MEAT OFFAL.,2018,4174.62,4.67,4179.29,20
"ORES, SLAG AND ASH.",2009,5456.200000000001,4782.56,10238.76,19
"ORES, SLAG AND ASH.",2010,6651.91,4574.1,11226.01,19
"ORES, SLAG AND ASH.",2011,5256.339999999999,5479.08,10735.42,19
"ORES, SLAG AND ASH.",2012,5425.46,6687.53,12112.99,19
"ORES, SLAG AND ASH.",2013,2383.44,7324.8,9708.24,19
"ORES, SLAG AND ASH.",2014,2201.46,6560.17,8761.630000000001,19
"ORES, SLAG AND ASH.",2015,982.0200000000001,7361.18,8343.2,19
"ORES, SLAG AND ASH.",2016,689.48,5420.16,6109.64,19
"ORES, SLAG AND ASH.",2017,1896.3500000000001,4275.8,6172.1500000000005,19
"ORES, SLAG AND ASH.",2018,1796.73,6487.07,8283.8,19
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2009,1292.02,50.839999999999996,1342.86,18
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2010,1815.3600000000001,42.41,1857.77,18
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2011,2320.94,79.93,2400.87,18
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2012,3286.27,101.86999999999999,3388.14,18
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2013,3322.65,67.39,3390.04,18
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2014,4822.93,44.59,4867.5199999999995,18
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2015,5249.45,61.660000000000004,5311.110000000001,18
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2016,4486.22,67.15,4553.37,18
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2017,5500.97,58.85,5559.82,18
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2018,6849.23,90.49,6939.72,18
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2009,2371.17,241.02,2612.19,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2010,2463.86,199.27,2663.13,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2011,3101.08,267.55,3368.63,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2012,3952.28,390.34000000000003,4342.62,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2013,4038.75,412.29,4451.04,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2014,4456.96,374.59999999999997,4831.56,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2015,4645.25,495.71999999999997,5140.97,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2016,4586.14,549.92,5136.06,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2017,4704.9800000000005,430.8,5135.78,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2018,5012.59,460.65999999999997,5473.25,17
"SHIPS, BOATS AND FLOATING STRUCTURES.",2009,3715.59,4569.76,8285.35,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2010,2554.27,3212.86,5767.13,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2011,4832.18,3541.63,8373.81,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2012,8095.69,4362.07,12457.76,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2013,3838.24,7225.57,11063.81,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2014,3724.77,6723.31,10448.08,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2015,5352.58,4959.39,10311.97,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2016,3088.5,4503.39,7591.89,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2017,4524.23,5652.14,10176.37,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2018,3074.91,4792.75,7867.66,16
MISCELLANEOUS GOODS.,2009,4776.28,1543.13,6319.41,15
MISCELLANEOUS GOODS.,2010,5204.95,1468.66,6673.61,15
MISCELLANEOUS GOODS.,2011,11823.75,2771.5299999999997,14595.279999999999,15
MISCELLANEOUS GOODS.,2012,11818.970000000001,4019.54,15838.51,15
MISCELLANEOUS GOODS.,2013,4438.18,4655.67,9093.85,15
MISCELLANEOUS GOODS.,2014,3688.1600000000003,8070.49,11758.65,15
MISCELLANEOUS GOODS.,2015,958.74,7471.61,8430.35,15
MISCELLANEOUS GOODS.,2016,1950.03,7664.79,9614.82,15
MISCELLANEOUS GOODS.,2017,388.78,7070.39,7459.17,15
MISCELLANEOUS GOODS.,2018,119.11999999999999,15.28,134.39999999999998,15
PLASTIC AND ARTICLES THEREOF.,2009,2542.9900000000002,4481.18,7024.17,14
PLASTIC AND ARTICLES THEREOF.,2010,2753.11,5515.04,8268.15,14
PLASTIC AND ARTICLES THEREOF.,2011,3987.2599999999998,7570.33,11557.59,14
PLASTIC AND ARTICLES THEREOF.,2012,5301.08,8445.880000000001,13746.960000000001,14
PLASTIC AND ARTICLES THEREOF.,2013,5149.6,9610.76,14760.36,14
PLASTIC AND ARTICLES THEREOF.,2014,5632.9,10103.9,15736.8,14
PLASTIC AND ARTICLES THEREOF.,2015,5080.89,11690.460000000001,16771.350000000002,14
PLASTIC AND ARTICLES THEREOF.,2016,5241.9,11411.710000000001,16653.61,14
PLASTIC AND ARTICLES THEREOF.,2017,5293.59,11568.14,16861.73,14
PLASTIC AND ARTICLES THEREOF.,2018,6348.1900000000005,13926.59,20274.78,14
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2009,5047.79,51.199999999999996,5098.99,13
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2010,4590.75,43.9,4634.65,13
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2011,4953.27,82.27,5035.54,13
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2012,5776.34,126.03,5902.37,13
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2013,5553.8499999999995,117.32,5671.17,13
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2014,6657.08,166.98000000000002,6824.06,13
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2015,7654.25,213.83,7868.08,13
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2016,7664.66,253.47,7918.13,13
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2017,8223.27,263.4,8486.67,13
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2018,7996.8099999999995,348.17,8344.98,13
ARTICLES OF IRON OR STEEL,2009,5782.27,3667,9449.27,12
ARTICLES OF IRON OR STEEL,2010,4080.94,2792.37,6873.3099999999995,12
ARTICLES OF IRON OR STEEL,2011,6584.88,3616.55,10201.43,12
ARTICLES OF IRON OR STEEL,2012,7047.7699999999995,4528.85,11576.62,12
ARTICLES OF IRON OR STEEL,2013,7435.8,4100.77,11536.57,12
ARTICLES OF IRON OR STEEL,2014,6806.95,3595.65,10402.6,12
ARTICLES OF IRON OR STEEL,2015,7591.47,3978.54,11570.01,12
ARTICLES OF IRON OR STEEL,2016,6155.5599999999995,3743.39,9898.95,12
ARTICLES OF IRON OR STEEL,2017,5915.55,3466.19,9381.74,12
ARTICLES OF IRON OR STEEL,2018,6793.52,4205.15,10998.67,12
CEREALS.,2009,3344.56,9.8,3354.36,11
CEREALS.,2010,2991.41,66.83,3058.2400000000002,11
CEREALS.,2011,3348.46,68.78999999999999,3417.25,11
CEREALS.,2012,6270.31,7.61,6277.92,11
CEREALS.,2013,9655.4,22.05,9677.45,11
CEREALS.,2014,10562.81,22.07,10584.88,11
CEREALS.,2015,9550.89,22.15,9573.04,11
CEREALS.,2016,6271.96,188.59,6460.55,11
CEREALS.,2017,6012.93,1343.26,7356.19,11
CEREALS.,2018,8078.86,434.12,8512.98,11
COTTON.,2009,3148.45,636.13,3784.58,10
COTTON.,2010,4611.92,499.06,5110.9800000000005,10
COTTON.,2011,6925.86,415.84,7341.7,10
COTTON.,2012,8921.72,511.05,9432.77,10
COTTON.,2013,8936.68,788.98,9725.66,10
COTTON.,2014,9926.09,714.98,10641.07,10
COTTON.,2015,7717.63,739.63,8457.26,10
COTTON.,2016,7312.84,599.36,7912.2,10
COTTON.,2017,6610.62,1132.18,7742.8,10
COTTON.,2018,7035.79,1181,8216.789999999999,10
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2009,5902.3499999999995,87.37,5989.72,9
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2010,6127.27,63.37,6190.639999999999,9
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2011,6673.09,113.89999999999999,6786.99,9
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2012,7959.96,189.93,8149.89,9
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2013,7407.41,210,7617.41,9
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2014,8342.78,266.45,8609.23,9
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2015,9191.54,309.8,9501.34,9
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2016,9323.85,326.73,9650.58,9
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2017,9163.96,331.85,9495.81,9
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2018,8723.699999999999,424.74,9148.439999999999,9
IRON AND STEEL,2009,7532.99,10265.3,17798.29,8
IRON AND STEEL,2010,4515.83,8813.91,13329.74,8
IRON AND STEEL,2011,7138.92,11009.5,18148.420000000002,8
IRON AND STEEL,2012,8301.67,13645.73,21947.4,8
IRON AND STEEL,2013,8089.22,13615.35,21704.57,8
IRON AND STEEL,2014,9223.09,9109.45,18332.54,8
IRON AND STEEL,2015,8684.04,12341.78,21025.82,8
IRON AND STEEL,2016,5492.41,11251.66,16744.07,8
IRON AND STEEL,2017,8682.82,8238.71,16921.53,8
IRON AND STEEL,2018,11239.16,10432,21671.16,8
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2009,9540.21,25204.440000000002,34744.65,7
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2010,7232.37,22073.6,29305.969999999998,7
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2011,10143.95,27210.34,37354.29,7
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2012,11527.13,32864.62,44391.75,7
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2013,10861.68,29818.96,40680.64,7
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2014,10297.5,29152.079999999998,39449.58,7
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2015,8695.710000000001,33148.77,41844.479999999996,7
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2016,7997.2300000000005,35959.45,43956.68,7
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2017,8230.98,38569.91,46800.89,7
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2018,9322.74,48268.47,57591.21,7
PHARMACEUTICAL PRODUCTS,2009,5078.28,924.89,6003.17,6
PHARMACEUTICAL PRODUCTS,2010,5190.75,1097.92,6288.67,6
PHARMACEUTICAL PRODUCTS,2011,6675.91,1204.68,7880.59,6
PHARMACEUTICAL PRODUCTS,2012,8482.96,1685.46,10168.42,6
PHARMACEUTICAL PRODUCTS,2013,10062.18,1747.59,11809.77,6
PHARMACEUTICAL PRODUCTS,2014,11139.94,1553.57,12693.51,6
PHARMACEUTICAL PRODUCTS,2015,11584.03,1628.02,13212.05,6
PHARMACEUTICAL PRODUCTS,2016,12909.49,1641.1,14550.59,6
PHARMACEUTICAL PRODUCTS,2017,12929.92,1717.49,14647.41,6
PHARMACEUTICAL PRODUCTS,2018,13254.53,1898.26,15152.789999999999,6
ORGANIC CHEMICALS,2009,7463.04,8607.57,16070.61,5
ORGANIC CHEMICALS,2010,7448.29,9406.46,16854.75,5
ORGANIC CHEMICALS,2011,9019.48,12639.29,21658.77,5
ORGANIC CHEMICALS,2012,11692.64,14442.7,26135.34,5
ORGANIC CHEMICALS,2013,12106.48,15702.199999999999,27808.68,5
ORGANIC CHEMICALS,2014,12016.39,17043.91,29060.3,5
ORGANIC CHEMICALS,2015,11948.05,17746.13,29694.18,5
ORGANIC CHEMICALS,2016,11508.55,15617.89,27126.44,5
ORGANIC CHEMICALS,2017,11687.68,15476.89,27164.57,5
ORGANIC CHEMICALS,2018,14784.289999999999,19200.97,33985.26,5
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2009,7992,26639.84,34631.840000000004,4
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2010,7186.4800000000005,23989.38,31175.86,4
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2011,9097.18,29006.239999999998,38103.42,4
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2012,10844.77,37551.3,48396.07,4
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2013,11547.87,35234.57,46782.44,4
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2014,12075.39,30668.32,42743.71,4
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2015,13801.01,31729.8,45530.81,4
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2016,13244.960000000001,32871.38,46116.340000000004,4
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2017,14098.78,32088.14,46186.92,4
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2018,17883.16,37823.31,55706.47,4
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2009,6001.86,3016.0499999999997,9017.91,3
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2010,6169.22,3100.76,9269.98,3
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2011,9315.6,4177.28,13492.88,3
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2012,10931.08,5163.75,16094.83,3
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2013,12193.08,4932.31,17125.39,3
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2014,12932.75,4475.6,17408.35,3
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2015,14473.64,4861.5599999999995,19335.2,3
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2016,14355.6,4988.83,19344.43,3
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2017,14949.79,4719.15,19668.94,3
"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2018,17254.7,5844.85,23099.55,3
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2009,28466.26,43926.19,72392.45,2
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2010,29202.829999999998,46321.79,75524.62,2
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2011,43684.89,77054.43,120739.31999999999,2
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2012,47277.76,91074.92,138352.68,2
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2013,43768.29,83896.38,127664.67,2
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2014,41692.1,58464.74,100156.84,2
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2015,41549.590000000004,62379.85,103929.44,2
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2016,39553.03,56536.86,96089.89,2
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2017,43623.03,53767.4,97390.43000000001,2
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2018,41743.32,74710.41,116453.73,2
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2009,28437.06,103933.75,132370.81,1
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2010,29036.27,96321.08,125357.35,1
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2011,42735.86,115929.1,158664.96,1
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2012,57391.8,172753.87,230145.66999999998,1
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2013,62105.38,181344.63999999998,243450.02,1
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2014,64685.28,181382.57,246067.85,1
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2015,57619.94,156399.99,214019.93,1
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2016,31231.55,96953.02,128184.57,1
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2017,32435.54,103163.12000000001,135598.66,1
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2018,38419.73,132294.43,170714.16,1
